,shot_id,event_type,team_id,player_id,player_name,shot_x,shot_y,min,min_added,is_blocked,is_on_target,blocked_x,blocked_y,goal_crossed_y,goal_crossed_z,xG,xGOT,shot_type,situation,period,is_own_goal,on_goal_x,on_goal_y,short_name
605,2449308757,Miss,8455,80562,Thiago Silva,97.0877163528214,26.111875,39,,False,False,103.103448276,44.91159235240001,52.8287898083,1.0723157842,0.0271756649017334,,Header,FromCorner,FirstHalf,False,2.4885899965478748e-14,12.515356958450043,
606,2449309161,Miss,8455,873289,Marc Cucurella,91.4000015258789,44.70140233858713,40,,False,False,,,41.888125,0.2696842092,0.12886857986450195,,LeftFoot,RegularPlay,FirstHalf,False,0.0,3.1475748039215685,
607,2449315115,AttemptSaved,8463,952322,Brenden Aaronson,74.82669559426887,32.16999883651733,45,2.0,False,True,100.732758621,33.61875,35.3725,0.3659999982,0.03877604007720947,0.0656,RightFoot,RegularPlay,FirstHalf,False,28.66071428571426,4.271708662464985,
608,2449322669,Miss,8455,873289,Marc Cucurella,89.69999694824219,33.61875,48,,False,False,,,24.699872616500002,5.1842758704000005,0.07447272539138794,,RightFoot,RegularPlay,SecondHalf,False,221.43160436904753,60.50742145658264,
609,2449323709,AttemptSaved,8463,193869,Rodrigo,90.0,19.445095811271784,49,,True,True,90.9,20.2858598756,34.38125,1.2199999940000001,0.03034120798110962,,RightFoot,RegularPlay,SecondHalf,False,40.46130952380951,14.239028874883287,
610,2449324657,AttemptSaved,8455,750032,Mason Mount,88.80000305175781,40.46952381,50,,True,True,92.3,38.78857143,34.305,1.2199999940000001,0.1433539092540741,,RightFoot,FastBreak,SecondHalf,False,41.36904761904762,14.239028874883287,
611,2449325511,AttemptSaved,8455,604982,Ruben Loftus-Cheek,81.80922502006557,30.568749999999998,51,,True,True,95.640350876,32.3225,33.695,1.2199999940000001,0.036300092935562134,,RightFoot,RegularPlay,SecondHalf,False,48.63095238095238,14.239028874883287,
612,2449329655,AttemptSaved,8463,729769,Tyler Adams,79.1063106808,27.698572069232448,57,,True,True,94.8684210512,32.9325,35.29625000000001,1.2199999940000001,0.019155532121658325,,RightFoot,FromCorner,SecondHalf,False,29.56845238095229,14.239028874883287,
613,2449330043,AttemptSaved,8455,966027,Conor Gallagher,90.0,22.317707544843564,57,,True,True,93.6,24.84,33.00875,1.2199999940000001,0.029349416494369507,,LeftFoot,RegularPlay,SecondHalf,False,56.80059523809525,14.239028874883287,
614,2449335393,AttemptSaved,8455,807729,Reece James,79.89465675826887,20.4259872642,65,,False,True,101.58620689680001,32.3225,36.51625,0.28252631440000003,0.02710115909576416,0.2785,RightFoot,RegularPlay,SecondHalf,False,15.044642857142863,3.297459318394024,
615,2449335621,AttemptSaved,8455,210428,Kalidou Koulibaly,96.9912265970607,23.2285350362,65,,False,True,103.8620689656,32.779999999999994,32.70374999999999,1.6630526234,0.016945093870162964,0.0725,Header,FromCorner,SecondHalf,False,60.43154761904771,19.410044624183005,
616,2449338097,Miss,8463,193869,Rodrigo,97.57017249332141,32.62750058174133,69,,False,False,102.72413793119999,36.745000000000005,42.350624999999994,0.5329473658000001,0.33634141087532043,,RightFoot,RegularPlay,SecondHalf,False,0.0,6.220207350606909,
617,2449338115,Goal,8463,751649,Jack Harrison,102.43965806650827,37.719999908447264,69,,False,True,,,35.75375,1.0145263108,0.49058759212493896,0.9245,LeftFoot,RegularPlay,SecondHalf,False,24.122023809523853,11.840876643323995,
618,2449341797,AttemptSaved,8455,750032,Mason Mount,79.44417819533112,38.70452509346489,75,,True,True,83.94902912639999,37.78,33.8475,1.2199999940000001,0.02651512622833252,,RightFoot,RegularPlay,SecondHalf,False,46.81547619047623,14.239028874883287,
619,2449344335,AttemptSaved,8455,360559,Hakim Ziyech,78.76844316626887,18.113885886843565,79,,True,True,82.597572816,20.5661146528,32.779999999999994,1.2199999940000001,0.012990474700927734,,LeftFoot,RegularPlay,SecondHalf,False,59.5238095238096,14.239028874883287,
620,2449346175,AttemptSaved,8455,360559,Hakim Ziyech,81.69660537933113,37.768000091552736,82,,True,True,95.54385964789999,34.0,30.797499999999996,1.2199999940000001,0.04051879048347473,,LeftFoot,RegularPlay,SecondHalf,False,83.125,14.239028874883287,
621,2448410177,Goal,10252,540088,Ollie Watkins,90.5999984741211,34.686251163482666,5,,False,True,,,35.75375,0.0834736838,0.19305118918418884,0.4339,RightFoot,RegularPlay,FirstHalf,False,24.122023809523853,0.9742493440709616,
622,2448414989,Goal,9826,198510,Wilfried Zaha,90.5999984741211,44.70140233858713,7,,False,True,,,30.95,0.1219999994,0.10562247037887573,0.5803,LeftFoot,FastBreak,FirstHalf,False,81.30952380952377,1.4239028874883286,
623,2448421647,Miss,10252,210111,Lucas Digne,93.0,44.351083867087134,10,,False,False,,,41.31,1.4254736772,0.04320192337036133,,RightFoot,RegularPlay,FirstHalf,False,0.0,16.637181106442576,
624,2448427259,Miss,9826,214570,Jeffrey Schlupp,98.14912575127859,31.40749883651733,13,,False,False,101.206896552,53.0389808912,67.8688151658,0.3595789456,0.23095694184303284,,Header,FromCorner,FirstHalf,False,0.0,4.1967664052287565,
625,2448497997,AttemptSaved,9826,637746,Odsonne Edouard,100.92241089949172,38.28428699846489,29,,False,True,103.103448276,37.2025,36.05875,0.0385263156,0.11429384350776672,0.3438,RightFoot,RegularPlay,FirstHalf,False,20.49107142857139,0.4496535434173669,
626,2448471325,AttemptSaved,9826,818975,Eberechi Eze,79.1063106808,48.484842899874266,37,,True,True,90.9,42.4084375,34.0,1.2199999940000001,0.029746294021606445,,RightFoot,FreeKick,FirstHalf,False,45.0,14.239028874883287,
627,2448480461,AttemptSaved,9826,154280,Jordan Ayew,92.9000015258789,29.54762032846489,42,,False,True,102.9137931036,33.31375,30.568749999999998,0.0385263156,0.20720824599266052,0.5016,RightFoot,RegularPlay,FirstHalf,False,85.84821428571435,0.4496535434173669,
628,2448482481,Miss,9826,951954,Cheick Oumar Doucouré,77.07912277826887,41.5990625,42,,False,False,,,40.637619048000005,0.44305262940000006,0.03726041316986084,,RightFoot,RegularPlay,FirstHalf,False,-1.754580356138123e-14,5.171015749299721,
629,2448484335,AttemptSaved,10252,610184,Emiliano Buendia,94.9649122793,32.09375,43,,False,True,104.051724138,33.466249999999995,32.856249999999996,0.8539999958000001,0.2050308883190155,0.0534,RightFoot,RegularPlay,FirstHalf,False,58.61607142857148,9.9673202124183,
630,2448511211,AttemptSaved,9826,154280,Jordan Ayew,94.19297950982141,30.231999908447264,48,,False,True,96.0263157884,30.328,33.92375,0.2439999988,0.1900012493133545,0.0275,RightFoot,RegularPlay,SecondHalf,False,45.907738095238116,2.847805774976657,
631,2448517609,Post,10252,671331,Leon Bailey,90.9000015258789,22.177579621699998,51,,False,False,,,36.97375,2.515,0.08684062957763672,,LeftFoot,RegularPlay,SecondHalf,False,9.598214285714256,29.35340802987862,
632,2448521609,Miss,9826,637746,Odsonne Edouard,90.0,30.797499418258663,53,,False,False,,,41.141904761999996,0.1797894728,0.08359509706497192,,RightFoot,RegularPlay,SecondHalf,False,-1.8878826443934388e-14,2.0983832026143787,
633,2448525985,AttemptSaved,9826,844425,Marc Guehi,99.4999970553214,26.4009375,55,,True,True,100.3534482762,27.362380952,32.17,1.2199999940000001,0.043628305196762085,,Header,FromCorner,SecondHalf,False,66.78571428571426,14.239028874883287,
634,2448531951,AttemptSaved,9826,198510,Wilfried Zaha,94.0,34.0,58,,False,True,105.0,34.0,35.143750000000004,0.8539999958000001,0.7884,0.9294,RightFoot,Penalty,SecondHalf,False,31.38392857142852,9.9673202124183,
635,2448532047,Goal,9826,198510,Wilfried Zaha,98.8245614033,33.92375116348266,58,,False,True,,,33.00875,0.0834736838,0.6256301403045654,0.3516,RightFoot,SetPiece,SecondHalf,False,56.80059523809525,0.9742493440709616,
636,2448541635,AttemptSaved,10252,210111,Lucas Digne,95.3508786640393,46.1727388498,63,,True,True,98.535087719,42.00375,32.474999999999994,1.2199999940000001,0.045665204524993896,,RightFoot,SetPiece,SecondHalf,False,63.15476190476197,14.239028874883287,
637,2448553405,AttemptSaved,9826,818975,Eberechi Eze,91.9000015258789,29.463570785767555,69,,True,True,95.640350876,30.291999999999998,32.9325,1.2199999940000001,0.1076001524925232,,RightFoot,RegularPlay,SecondHalf,False,57.708333333333364,14.239028874883287,
638,2448557631,Goal,9826,706297,Jean-Philippe Mateta,97.0877163528214,34.07624883651734,71,,False,True,,,35.83,1.5859999922,0.29375559091567993,0.7035,RightFoot,RegularPlay,SecondHalf,False,23.214285714285737,18.51073753734827,
639,2448561153,Miss,9826,818975,Eberechi Eze,92.0,42.986563382148745,73,,False,False,,,22.808152870399997,1.3355789408,0.05923900008201599,,RightFoot,RegularPlay,SecondHalf,False,266.47255070476206,15.587989505135386,
640,2448562321,Miss,9826,706297,Jean-Philippe Mateta,91.0,36.82125058174134,74,,False,False,,,41.888125,1.60526315,0.11951786279678345,,RightFoot,RegularPlay,SecondHalf,False,0.0,18.735564309056954,
641,2448565279,AttemptSaved,10252,214426,Danny Ings,91.69999694824219,39.545001283464885,76,,False,True,103.9568965518,34.533750000000005,35.9825,1.3805263090000002,0.026786774396896362,0.1347,Header,RegularPlay,SecondHalf,False,21.398809523809508,16.11258530578898,
642,2448566825,AttemptSaved,10252,184536,Philippe Coutinho,92.19999694824219,29.211428570000002,77,,True,True,94.09649122639999,29.967857141,33.161249999999995,1.2199999940000001,0.01643472909927368,,Header,RegularPlay,SecondHalf,False,54.9851190476191,14.239028874883287,
643,2448571795,Miss,10252,710159,Ezri Konsa,95.9298245603,36.51624941825867,79,,False,False,,,25.302500000000002,1.6951578864,0.06780064105987549,,Header,FromCorner,SecondHalf,False,207.0833333333333,19.784755910364144,
644,2448582115,Miss,10252,214426,Danny Ings,90.5,37.684,85,,False,False,99.50000000040001,43.3001273835,47.6440764301,0.1797894728,0.028849482536315918,,RightFoot,RegularPlay,SecondHalf,False,1.8033295002907656e-14,2.0983832026143787,
645,2448582257,AttemptSaved,10252,184536,Philippe Coutinho,98.3421052628,49.115411872225735,85,,False,True,104.051724138,37.58375000000001,37.58375000000001,1.1814736784,0.05638566613197327,0.2143,RightFoot,RegularPlay,SecondHalf,False,2.336309523809419,13.789375331465918,
646,2448586931,Miss,10252,729731,Matty Cash,71.67330269206556,30.340000581741332,88,,False,False,,,45.1918471296,0.1797894728,0.014447391033172607,,RightFoot,SetPiece,SecondHalf,False,0.0,2.0983832026143783,
647,2448590769,AttemptSaved,9826,295067,Will Hughes,93.30000305175781,25.01343661785126,90,0.0,False,True,100.5431034486,30.416249999999994,34.99125,0.9759999952,0.10277193784713745,0.1502,LeftFoot,RegularPlay,SecondHalf,False,33.19940476190475,11.391223099906629,
648,2448594943,Miss,10252,540088,Ollie Watkins,96.4122807008,37.69599981689453,90,2.0,False,False,,,35.0675,5.670896561599999,0.06589645147323608,,Header,RegularPlay,SecondHalf,False,86.9753952885416,66.186934659197,
649,2448596967,AttemptSaved,9826,295067,Will Hughes,99.11403803227859,49.956179411087135,90,4.0,False,True,104.3362068966,36.745000000000005,31.1025,1.6630526234,0.04177570343017578,0.6657,LeftFoot,RegularPlay,SecondHalf,False,79.49404761904762,19.410044624183005,
650,2448598419,AttemptSaved,10252,184536,Philippe Coutinho,72.23640948806556,38.28428699846489,90,4.0,False,True,102.9137931036,36.21125,31.559999999999995,1.8299999910000002,0.046495258808135986,0.3327,RightFoot,RegularPlay,SecondHalf,False,74.04761904761911,21.35854331232493,
651,2445276225,AttemptSaved,8456,417068,Nathan Aké,92.0999984741211,30.797499418258663,2,,True,True,93.7,31.4075,35.60125,1.2199999940000001,0.014551609754562378,,Header,FromCorner,FirstHalf,False,25.937499999999996,14.239028874883287,
652,2445281559,Miss,8456,675088,Rodri,96.2193011892786,30.32799981689453,4,,False,False,,,40.46952381,3.7417931072000004,0.06922987103462219,,Header,FromCorner,FirstHalf,False,8.550731300265078e-15,43.671721605975726,
653,2445286025,AttemptSaved,8456,417068,Nathan Aké,95.2543889082786,43.58038162615644,6,,True,True,96.8947368413,42.2928125,34.99125,1.2199999940000001,0.058270931243896484,,LeftFoot,FromCorner,FirstHalf,False,33.19940476190475,14.239028874883287,
654,2445287239,Miss,8456,278343,Riyad Mahrez,90.4000015258789,21.056560245628216,7,,False,False,,,33.77125,7.600000016000001,0.0314907431602478,,LeftFoot,FromCorner,FirstHalf,False,136.31696456696426,88.7021477124183,
655,2445292535,AttemptSaved,8456,169200,Kevin De Bruyne,79.89465675826887,47.85426858208713,9,,True,True,89.6,42.639687499999994,32.9325,1.2199999940000001,0.03614842891693115,,RightFoot,RegularPlay,FirstHalf,False,57.708333333333364,14.239028874883287,
