,playerId,playerName,teamId,minutes,touches,teamName
192,556972,Sasa Lukic,9804,2986,2132.0,Torino
193,560852,Rick Karsdorp,8686,2889,2067.0,Roma
194,560945,Mergim Vojvoda,9804,1976,1427.0,Torino
195,561844,Tyronne Ebuehi,7881,1141,685.0,Venezia
196,566118,Arkadiusz Reca,9881,1777,1148.0,Spezia
197,566654,Matteo Pessina,8524,1443,1149.0,Atalanta
198,566753,Rey Manaj,9881,1768,858.0,Spezia
199,570830,Nicolas Haas,8534,1006,620.0,Empoli
200,574844,Razvan Marin,8529,2815,1655.0,Cagliari
201,574847,Gaetano Castrovilli,8535,1399,784.0,Fiorentina
202,575364,Alberto Grassi,8529,2184,1425.0,Cagliari
203,577911,Rolando Mandragora,9804,1318,936.0,Torino
204,579747,Franck Kessié,8564,2312,1697.0,Milan
205,585237,Daniele Verde,9881,1957,1041.0,Spezia
206,588687,Gianluca Mancini,8686,2882,2105.0,Roma
207,592909,Lucas Torreira,8535,2201,1628.0,Fiorentina
208,593118,Denzel Dumfries,8636,2028,1164.0,Inter
209,593213,Viktor Kovalenko,9881,1321,768.0,Spezia
210,600190,Thomas Henry,7881,2122,835.0,Venezia
211,602845,Emil Audero,9882,2561,1155.0,Sampdoria
212,604330,Sebastiano Luperto,8534,1958,1273.0,Empoli
