,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
1094,3905393,2022-07-16 11:00:00,Sandro Schärer,xGOT_for,0.92,A,10243,FC Zürich,3 - 4 - 1 - 2
1119,3905401,2022-07-16 13:30:00,,xG_for,1.07,A,9931,Basel,4 - 2 - 3 - 1
1120,3905401,2022-07-16 13:30:00,,xGOT_for,0.96,A,9931,Basel,4 - 2 - 3 - 1
1145,3905396,2022-07-23 13:30:00,,xG_for,0.78,A,7894,Winterthur,4 - 2 - 3 - 1
1146,3905396,2022-07-23 13:30:00,,xGOT_for,0.02,A,7894,Winterthur,4 - 2 - 3 - 1
1171,3905397,2022-07-23 11:00:00,Luca Piccolo,xG_for,1.45,A,10199,Luzern,4 - 4 - 2
1172,3905397,2022-07-23 11:00:00,Luca Piccolo,xGOT_for,1.39,A,10199,Luzern,4 - 4 - 2
1197,3905395,2022-07-24 07:15:00,Alessandro Dudic,xG_for,1.23,A,9777,Servette,4 - 1 - 4 - 1
1198,3905395,2022-07-24 07:15:00,Alessandro Dudic,xGOT_for,0.78,A,9777,Servette,4 - 1 - 4 - 1
1223,3905402,2022-07-24 09:30:00,,xG_for,1.55,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1224,3905402,2022-07-24 09:30:00,,xGOT_for,1.89,A,10192,Young Boys,4 - 1 - 2 - 1 - 2
1249,3905434,2022-08-06 11:00:00,Stefan Horisberger,xG_for,0.64,A,7894,Winterthur,3 - 5 - 1 - 1
1250,3905434,2022-08-06 11:00:00,Stefan Horisberger,xGOT_for,0.00,A,7894,Winterthur,3 - 5 - 1 - 1
1275,3905403,2022-07-30 11:00:00,,xG_for,1.82,A,10243,FC Zürich,4 - 2 - 3 - 1
1276,3905403,2022-07-30 11:00:00,,xGOT_for,1.89,A,10243,FC Zürich,4 - 2 - 3 - 1
1301,3905436,2022-07-31 09:30:00,,xG_for,0.55,A,9956,Grasshopper,3 - 1 - 4 - 2
1302,3905436,2022-07-31 09:30:00,,xGOT_for,0.57,A,9956,Grasshopper,3 - 1 - 4 - 2
1327,3905433,2022-08-06 13:30:00,,xG_for,2.72,A,10190,St. Gallen,4 - 3 - 1 - 2
1328,3905433,2022-08-06 13:30:00,,xGOT_for,2.12,A,10190,St. Gallen,4 - 3 - 1 - 2
1353,3905450,2022-07-30 13:30:00,,xG_for,1.02,A,9777,Servette,4 - 3 - 3
1354,3905450,2022-07-30 13:30:00,,xGOT_for,0.05,A,9777,Servette,4 - 3 - 3
1379,3905432,2022-08-07 07:15:00,Urs Schnyder,xG_for,1.11,A,10179,Sion,4 - 3 - 3
1380,3905432,2022-08-07 07:15:00,Urs Schnyder,xGOT_for,2.04,A,10179,Sion,4 - 3 - 3
1405,3905430,2022-08-07 09:30:00,,xG_for,1.29,A,10199,Luzern,4 - 3 - 1 - 2
