,match_id,date,referee,variable,value,venue,team_id,team_name,team_lineup
80,3916418,2022-08-16 13:45:00,Lee Swabey,xG_for,0.95,H,10173,Gillingham,4 - 2 - 3 - 1
81,3916418,2022-08-16 13:45:00,Lee Swabey,xG_ag,1.58,H,10173,Gillingham,4 - 2 - 3 - 1
82,3916412,2022-08-16 13:45:00,Declan Bourne,xG_for,1.73,H,9903,Doncaster Rovers,4 - 2 - 3 - 1
83,3916412,2022-08-16 13:45:00,Declan Bourne,xG_ag,0.16,H,9903,Doncaster Rovers,4 - 2 - 3 - 1
84,3916416,2022-08-16 13:45:00,Thomas Kirk,xG_for,0.38,H,8488,Hartlepool United,3 - 4 - 2 - 1
85,3916416,2022-08-16 13:45:00,Thomas Kirk,xG_ag,0.53,H,8488,Hartlepool United,3 - 4 - 2 - 1
86,3916415,2022-08-16 13:45:00,Ben Speedie,xG_for,2.84,H,9818,Mansfield Town,3 - 5 - 1 - 1
87,3916415,2022-08-16 13:45:00,Ben Speedie,xG_ag,0.54,H,9818,Mansfield Town,3 - 5 - 1 - 1
88,3916594,2022-08-16 13:45:00,Sunny Sukhvir Gill,xG_for,1.41,H,10262,Newport County,3 - 5 - 2
89,3916594,2022-08-16 13:45:00,Sunny Sukhvir Gill,xG_ag,0.97,H,10262,Newport County,3 - 5 - 2
90,3916414,2022-08-16 13:45:00,Tom Reeves,xG_for,0.84,H,10253,Stevenage,3 - 4 - 3
91,3916414,2022-08-16 13:45:00,Tom Reeves,xG_ag,0.18,H,10253,Stevenage,3 - 4 - 3
92,3916413,2022-08-16 13:45:00,Rob Lewis,xG_for,0.71,H,9795,Swindon Town,4 - 3 - 3
93,3916413,2022-08-16 13:45:00,Rob Lewis,xG_ag,1.48,H,9795,Swindon Town,4 - 3 - 3
94,3916434,2022-08-20 07:00:00,Scott Oldham,xG_for,0.3,H,8488,Hartlepool United,4 - 2 - 3 - 1
95,3916434,2022-08-20 07:00:00,Scott Oldham,xG_ag,0.89,H,8488,Hartlepool United,4 - 2 - 3 - 1
96,3916409,2022-08-20 09:00:00,David Webb,xG_for,0.7,H,9784,Crewe Alexandra,4 - 2 - 3 - 1
