,minutes,touches,role,playerId,teamId,playerName,xGOT,goals_conceded,match_id,date,teamName
77,90,,Keeper,254241,8370,Stole Dimitrievski,1.27,0,3629142,2021-09-18 14:00:00,Rayo Vallecano
78,90,,Keeper,581919,8305,David Soria,2.52,3,3629142,2021-09-18 14:00:00,Getafe
79,90,,Keeper,177126,9906,Jan Oblak,0,0,3629135,2021-09-18 16:15:00,Atletico Madrid
80,90,,Keeper,660625,8315,Unai Simon,0.60,0,3629135,2021-09-18 16:15:00,Athletic Club
81,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.67,1,3629136,2021-09-20 21:00:00,Barcelona
82,90,,Keeper,777035,7878,Luis Maximiano,1.73,1,3629136,2021-09-20 21:00:00,Granada
83,90,,Keeper,683762,8371,Sergio Herrera,3.09,3,3629150,2021-09-23 19:30:00,Osasuna
84,90,,Keeper,37421,8603,Claudio Bravo,1.55,1,3629150,2021-09-23 19:30:00,Real Betis
85,90,,Keeper,40672,10268,Francisco Casilla,1.23,1,3629143,2021-09-18 18:30:00,Elche
86,90,,Keeper,1041445,8581,Dani Cárdenas,0.76,1,3629143,2021-09-18 18:30:00,Levante
87,90,,Keeper,530468,9866,Antonio Sivera,1.83,2,3629134,2021-09-18 21:00:00,Deportivo Alaves
88,90,,Keeper,683762,8371,Sergio Herrera,0.15,0,3629134,2021-09-18 21:00:00,Osasuna
89,90,,Keeper,777035,7878,Luis Maximiano,2.98,3,3629147,2021-09-23 19:30:00,Granada
90,90,,Keeper,185644,8560,Mathew Ryan,1.26,2,3629147,2021-09-23 19:30:00,Real Sociedad
91,90,,Keeper,41466,8558,Diego Lopez,0.24,0,3629148,2021-09-22 19:30:00,Espanyol
92,90,,Keeper,241059,9866,Fernando Pacheco,1.73,1,3629148,2021-09-22 19:30:00,Deportivo Alaves
93,90,,Keeper,340020,8302,Yassine Bounou,0.59,1,3629152,2021-09-22 19:30:00,Sevilla
94,90,,Keeper,948800,10267,Giorgi Mamardashvili,0.60,3,3629152,2021-09-22 19:30:00,Valencia
95,90,,Keeper,170323,8633,Thibaut Courtois,0.67,1,3629151,2021-09-22 22:00:00,Real Madrid
96,90,,Keeper,114762,8661,Manolo Reina,3.51,6,3629151,2021-09-22 22:00:00,Mallorca
97,90,,Keeper,170323,8633,Thibaut Courtois,0.35,0,3629159,2021-09-25 21:00:00,Real Madrid
98,90,,Keeper,245555,10205,Geronimo Rulli,1.19,0,3629159,2021-09-25 21:00:00,Villarreal
99,90,,Keeper,486981,8385,Jeremias Ledesma,0.16,0,3629146,2021-09-23 22:00:00,Cadiz
100,90,,Keeper,184554,8634,Marc-Andre ter Stegen,0.80,0,3629146,2021-09-23 22:00:00,Barcelona
101,90,,Keeper,212512,10267,Jasper Cillessen,0.86,1,3629162,2021-09-25 16:15:00,Valencia
102,90,,Keeper,660625,8315,Unai Simon,1.56,1,3629162,2021-09-25 16:15:00,Athletic Club
103,90,,Keeper,96623,10205,Sergio Asenjo,1.03,1,3629153,2021-09-22 22:00:00,Villarreal
104,90,,Keeper,40672,10268,Francisco Casilla,3.54,4,3629153,2021-09-22 22:00:00,Elche
105,90,,Keeper,241059,9866,Fernando Pacheco,0.10,0,3629154,2021-09-25 14:00:00,Deportivo Alaves
106,90,,Keeper,177126,9906,Jan Oblak,0.51,1,3629154,2021-09-25 14:00:00,Atletico Madrid
107,90,,Keeper,581919,8305,David Soria,1.32,2,3629145,2021-09-21 19:30:00,Getafe
